DEPARTAMENTO,MUNICIPIO,DISTRITO,ESTABLECIMIENTO,ESTABLECIMIENTO_NORM,DIRECCION,DIRECCION_NORM,TELEFONO,TELEFONO_ESTD,TELEFONOS_LIST,CODIGO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,PORCENTAJE_FALTANTE,CLAVE_BLOQUEO
CHIMALTENANGO,ACATENANGO,04-027,INSTITUTO CHIMALTECO DE EDUCACIÓN INTEGRAL,CHIMALTECO DE EDUCACION INTEGRAL,3A. AVENIDA 5-32 ZONA 3,3A AVENIDA 5 32 ZONA 3,78392713,78392713,78392713,04-11-0008-46,ISMAEL CRISTAL AJCET,CARLOS HUMBERTO HERNÁDEZ CHEREC,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO,0.0,ACATENANGO|CHIMALTECO DE ED|3A AVENIDA 5
CHIMALTENANGO,ACATENANGO,04-016,"LICEO CRISTIANO ""VISION ETERNA""","CRISTIANO ""VISION ETERNA""",ALDEA SAN ANTONIO NEJAPA,ALDEA SAN ANTONIO NEJAPA,54640678,54640678,54640678,04-11-0014-46,DORIS MARLENI DUARTE MARTÍNEZ,MELKY JONATÁN XINIC CÓ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),CHIMALTENANGO,0.0,"ACATENANGO|CRISTIANO ""VISIO|ALDEA SAN AN"
CHIMALTENANGO,ACATENANGO,04-016,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,DE EDUCACION DIVERSIFICADA,COLONIA LA LADRILLERA,COLONIA LA LADRILLERA,42569556,42569556,42569556,04-11-0009-46,DORIS MARLENI DUARTE MARTÍNEZ,ELDER DANILO MONTÚFAR AJQUEJAY,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,0.0,ACATENANGO|DE EDUCACION DIV|COLONIA LA L
CHIMALTENANGO,ACATENANGO,04-016,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""ACATENANGO""","DE EDUCACION DIVERSIFICADA ""ACATENANGO""",COLONIA POTRERITOS,COLONIA POTRERITOS,59464736,59464736,59464736,04-11-0002-46,DORIS MARLENI DUARTE MARTÍNEZ,JEYBY MARILÚ RIVERA FIGUEROA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,0.0,ACATENANGO|DE EDUCACION DIV|COLONIA POTR
CHIMALTENANGO,ACATENANGO,04-016,INSTITUTO DIVERSIFICADO POR COOPERATIVA ACATENANGO,DIVERSIFICADO ACATENANGO,COLONIA EL POTRERITO,COLONIA EL POTRERITO,78823560,78823560,78823560,04-11-0012-46,DORIS MARLENI DUARTE MARTÍNEZ,RONY AMILCAR VÉLIZ PÉREZ,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO,0.0,ACATENANGO|DIVERSIFICADO AC|COLONIA EL P
CHIMALTENANGO,ACATENANGO,04-016,INSTITUTO DIVERSIFICADO POR COOPERATIVA ACATENANGO,DIVERSIFICADO ACATENANGO,MUNICIPIO DE ACATENANGO,MUNICIPIO DE ACATENANGO,,SIN_TELEFONO,,04-11-0474-46,DORIS MARLENI DUARTE MARTÍNEZ,RONY AMILCAR VÉLIZ PÉREZ,DIVERSIFICADO,COOPERATIVA,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),CHIMALTENANGO,5.88235294117647,ACATENANGO|DIVERSIFICADO AC|MUNICIPIO DE
CHIMALTENANGO,ACATENANGO,,INSTITUTO PRACTICO DE EDUCACION MEDIA,PRACTICO DE EDUCACION MEDIA,CANTON TERCERO,CANTON TERCERO,,SIN_TELEFONO,,04-11-0995-46,,,DIVERSIFICADO,COOPERATIVA,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIMALTENANGO,23.52941176470588,ACATENANGO|PRACTICO DE EDUC|CANTON TERCE
JUTIAPA,AGUA BLANCA,22-011,"LICEO ""SAN JUAN PABLO II""","""SAN JUAN PABLO II""",BARRIO EL CENTRO,BARRIO EL CENTRO,41024810,41024810,41024810,22-04-0057-46,YELBELY ROXANA VEGA DONADO,KINVERLY DE MARÍA ORELLANA BELTRÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA|VESPERTINA,DIARIO(REGULAR),JUTIAPA,0.0,"AGUA BLANCA|""SAN JUAN PABLO |BARRIO EL CE"
JUTIAPA,AGUA BLANCA,22-012,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE CIENCIAS COMERCIALES,DE EDUCACION DIVERSIFICADA DE CIENCIAS COMERCIALES,---,,,SIN_TELEFONO,,22-04-0604-46,YELBELY ROXANA VEGA DONADO,JAVIER DE JESUS LEMUS ALARCÓN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,5.88235294117647,AGUA BLANCA|DE EDUCACION DIV|
JUTIAPA,AGUA BLANCA,22-011,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,DE EDUCACION DIVERSIFICADA,BARRIO TECUAN,BARRIO TECUAN,53579413,53579413,53579413,22-04-0023-46,YELBELY ROXANA VEGA DONADO,HUGO LEONEL NOGUERA AGUILAR,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,0.0,AGUA BLANCA|DE EDUCACION DIV|BARRIO TECUA
